Date,Flusskraft,Kernkraft,Photovoltaik,Speicherkraft,Thermische,Wind
2024-01-01,34.8,71.2,5.3,16.4,10.1,1.0
2024-01-02,34.4,71.0,2.7,35.9,10.1,1.5
2024-01-03,36.7,70.8,5.6,26.3,10.1,1.3
2024-01-04,39.6,70.0,5.8,66.7,10.1,1.0
2024-01-05,39.4,71.1,1.4,59.6,10.1,0.4
2024-01-06,39.9,71.2,2.1,56.5,10.1,0.3
2024-01-07,38.7,71.2,2.1,49.1,10.1,0.4
2024-01-08,40.7,71.3,0.8,94.0,10.1,0.1
2024-01-09,42.6,71.2,1.0,129.4,10.1,0.0
2024-01-10,46.1,71.3,0.9,167.0,10.1,0.4
2024-01-11,45.4,71.3,0.9,139.5,10.1,1.1
2024-01-12,45.0,71.2,1.4,147.5,10.1,1.0
2024-01-13,38.8,71.2,1.7,99.4,10.1,0.1
2024-01-14,34.6,71.3,2.0,60.0,10.1,0.6
2024-01-15,38.4,71.2,1.7,110.7,10.1,0.5
2024-01-16,39.4,71.2,4.7,123.0,10.1,0.5
2024-01-17,43.6,71.0,2.0,123.1,10.1,1.5
2024-01-18,52.6,70.9,2.8,113.1,10.1,0.9
2024-01-19,50.2,71.3,2.4,109.9,10.1,0.3
2024-01-20,42.7,71.3,4.0,81.2,10.1,1.1
2024-01-21,35.9,71.4,3.4,39.8,10.1,1.0
2024-01-22,39.5,71.2,1.7,84.7,10.1,1.5
2024-01-23,43.9,71.0,5.5,78.5,10.1,1.2
2024-01-24,42.9,70.6,3.7,57.4,10.1,1.5
2024-01-25,43.5,70.7,6.5,82.3,10.1,0.7
2024-01-26,41.6,70.9,3.5,68.1,10.1,0.9
2024-01-27,40.8,71.1,9.3,54.5,10.1,0.2
2024-01-28,37.3,71.2,9.5,35.9,10.1,0.4
2024-01-29,39.5,71.2,9.9,102.7,10.1,0.2
2024-01-30,40.1,71.2,9.3,99.1,10.1,0.2
2024-01-31,41.4,71.2,9.5,111.8,10.1,0.1
2024-02-01,42.9,71.1,2.3,89.7,10.8,0.5
2024-02-02,38.8,71.1,6.4,60.9,10.8,0.3
2024-02-03,33.3,71.1,12.8,29.9,10.8,0.5
2024-02-04,31.4,71.1,11.4,28.0,10.8,0.9
2024-02-05,33.5,71.0,11.9,58.0,10.8,0.7
2024-02-06,33.1,71.1,11.5,42.0,10.8,0.8
2024-02-07,36.1,71.0,8.4,81.9,10.8,1.0
2024-02-08,42.8,70.8,6.6,104.2,10.8,1.1
2024-02-09,42.4,70.8,3.3,67.5,10.8,1.0
2024-02-10,40.3,70.9,5.7,55.3,10.8,0.5
2024-02-11,35.8,70.9,7.9,33.5,10.8,0.8
2024-02-12,39.7,70.9,7.7,104.4,10.8,0.2
2024-02-13,36.9,71.0,14.9,68.1,10.8,0.2
2024-02-14,36.7,71.0,10.4,78.8,10.8,0.6
2024-02-15,36.3,71.0,11.1,73.8,10.8,0.5
2024-02-16,34.2,70.8,10.2,69.2,10.8,0.4
2024-02-17,33.4,70.8,5.8,64.8,10.8,0.1
2024-02-18,30.4,70.9,9.1,24.4,10.8,0.3
2024-02-19,34.3,70.9,8.8,94.7,10.8,0.6
2024-02-20,37.1,71.0,12.2,97.4,10.8,0.2
2024-02-21,35.0,71.0,12.6,83.3,10.8,0.6
2024-02-22,38.7,70.8,3.0,91.4,10.8,1.5
2024-02-23,42.9,71.0,12.0,86.3,10.8,0.6
2024-02-24,38.8,71.0,12.5,57.3,10.8,0.5
2024-02-25,34.5,69.5,17.6,49.8,10.8,0.9
2024-02-26,37.2,70.9,8.7,83.1,10.8,0.6
2024-02-27,41.3,71.0,6.4,115.0,10.8,0.4
2024-02-28,41.3,70.9,6.1,111.4,10.8,0.2
2024-02-29,37.9,70.9,13.0,73.1,10.8,0.2
2024-03-01,40.1,71.0,6.2,86.3,10.4,0.3
2024-03-02,37.3,71.0,14.7,44.2,10.4,0.6
2024-03-03,35.2,71.0,12.2,40.1,10.4,0.4
2024-03-04,37.5,71.0,9.0,100.3,10.4,0.1
2024-03-05,37.2,71.0,7.2,97.6,10.4,0.4
2024-03-06,37.9,71.1,6.0,105.7,10.4,0.3
2024-03-07,37.5,71.2,11.0,95.3,10.4,0.1
2024-03-08,36.0,71.2,13.7,84.8,10.4,0.4
2024-03-09,32.4,70.9,14.9,52.3,10.4,0.6
2024-03-10,31.4,70.9,5.2,49.7,10.4,0.4
2024-03-11,35.1,71.0,17.1,81.7,10.4,0.4
