Date,Flusskraft,Kernkraft,Photovoltaik,Speicherkraft,Thermische,Wind
2024-01-01,34800.0,71200.0,5300.0,16400.0,10100.0,1000.0
2024-01-02,34400.0,71000.0,2700.0,35900.0,10100.0,1500.0
2024-01-03,36700.0,70800.0,5600.0,26300.0,10100.0,1300.0
2024-01-04,39600.0,70000.0,5800.0,66700.0,10100.0,1000.0
2024-01-05,39400.0,71100.0,1400.0,59600.0,10100.0,400.0
2024-01-06,39900.0,71200.0,2100.0,56500.0,10100.0,300.0
2024-01-07,38700.0,71200.0,2100.0,49100.0,10100.0,400.0
2024-01-08,40700.0,71300.0,800.0,94000.0,10100.0,100.0
2024-01-09,42600.0,71200.0,1000.0,129400.0,10100.0,0.0
2024-01-10,46100.0,71300.0,900.0,167000.0,10100.0,400.0
2024-01-11,45400.0,71300.0,900.0,139500.0,10100.0,1100.0
2024-01-12,45000.0,71200.0,1400.0,147500.0,10100.0,1000.0
2024-01-13,38800.0,71200.0,1700.0,99400.0,10100.0,100.0
2024-01-14,34600.0,71300.0,2000.0,60000.0,10100.0,600.0
2024-01-15,38400.0,71200.0,1700.0,110700.0,10100.0,500.0
2024-01-16,39400.0,71200.0,4700.0,123000.0,10100.0,500.0
2024-01-17,43600.0,71000.0,2000.0,123100.0,10100.0,1500.0
2024-01-18,52600.0,70900.0,2800.0,113100.0,10100.0,900.0
2024-01-19,50200.0,71300.0,2400.0,109900.0,10100.0,300.0
2024-01-20,42700.0,71300.0,4000.0,81200.0,10100.0,1100.0
2024-01-21,35900.0,71400.0,3400.0,39800.0,10100.0,1000.0
2024-01-22,39500.0,71200.0,1700.0,84700.0,10100.0,1500.0
2024-01-23,43900.0,71000.0,5500.0,78500.0,10100.0,1200.0
2024-01-24,42900.0,70600.0,3700.0,57400.0,10100.0,1500.0
2024-01-25,43500.0,70700.0,6500.0,82300.0,10100.0,700.0
2024-01-26,41600.0,70900.0,3500.0,68100.0,10100.0,900.0
2024-01-27,40800.0,71100.0,9300.0,54500.0,10100.0,200.0
2024-01-28,37300.0,71200.0,9500.0,35900.0,10100.0,400.0
2024-01-29,39500.0,71200.0,9900.0,102700.0,10100.0,200.0
2024-01-30,40100.0,71200.0,9300.0,99100.0,10100.0,200.0
2024-01-31,41400.0,71200.0,9500.0,111800.0,10100.0,100.0
2024-02-01,42900.0,71100.0,2300.0,89700.0,10800.0,500.0
2024-02-02,38800.0,71100.0,6400.0,60900.0,10800.0,300.0
2024-02-03,33300.0,71100.0,12800.0,29900.0,10800.0,500.0
2024-02-04,31400.0,71100.0,11400.0,28000.0,10800.0,900.0
2024-02-05,33500.0,71000.0,11900.0,58000.0,10800.0,700.0
2024-02-06,33100.0,71100.0,11500.0,42000.0,10800.0,800.0
2024-02-07,36100.0,71000.0,8400.0,81900.0,10800.0,1000.0
2024-02-08,42800.0,70800.0,6600.0,104200.0,10800.0,1100.0
2024-02-09,42400.0,70800.0,3300.0,67500.0,10800.0,1000.0
2024-02-10,40300.0,70900.0,5700.0,55300.0,10800.0,500.0
2024-02-11,35800.0,70900.0,7900.0,33500.0,10800.0,800.0
2024-02-12,39700.0,70900.0,7700.0,104400.0,10800.0,200.0
2024-02-13,36900.0,71000.0,14900.0,68100.0,10800.0,200.0
2024-02-14,36700.0,71000.0,10400.0,78800.0,10800.0,600.0
2024-02-15,36300.0,71000.0,11100.0,73800.0,10800.0,500.0
2024-02-16,34200.0,70800.0,10200.0,69200.0,10800.0,400.0
2024-02-17,33400.0,70800.0,5800.0,64800.0,10800.0,100.0
2024-02-18,30400.0,70900.0,9100.0,24400.0,10800.0,300.0
2024-02-19,34300.0,70900.0,8800.0,94700.0,10800.0,600.0
2024-02-20,37100.0,71000.0,12200.0,97400.0,10800.0,200.0
2024-02-21,35000.0,71000.0,12600.0,83300.0,10800.0,600.0
2024-02-22,38700.0,70800.0,3000.0,91400.0,10800.0,1500.0
2024-02-23,42900.0,71000.0,12000.0,86300.0,10800.0,600.0
2024-02-24,38800.0,71000.0,12500.0,57300.0,10800.0,500.0
2024-02-25,34500.0,69500.0,17600.0,49800.0,10800.0,900.0
2024-02-26,37200.0,70900.0,8700.0,83100.0,10800.0,600.0
2024-02-27,41300.0,71000.0,6400.0,115000.0,10800.0,400.0
2024-02-28,41300.0,70900.0,6100.0,111400.0,10800.0,200.0
2024-02-29,37900.0,70900.0,13000.0,73100.0,10800.0,200.0
2024-03-01,40100.0,71000.0,6200.0,86300.0,10400.0,300.0
2024-03-02,37300.0,71000.0,14700.0,44200.0,10400.0,600.0
2024-03-03,35200.0,71000.0,12200.0,40100.0,10400.0,400.0
2024-03-04,37500.0,71000.0,9000.0,100300.0,10400.0,100.0
2024-03-05,37200.0,71000.0,7200.0,97600.0,10400.0,400.0
2024-03-06,37900.0,71100.0,6000.0,105700.0,10400.0,300.0
2024-03-07,37500.0,71200.0,11000.0,95300.0,10400.0,100.0
2024-03-08,36000.0,71200.0,13700.0,84800.0,10400.0,400.0
2024-03-09,32400.0,70900.0,14900.0,52300.0,10400.0,600.0
2024-03-10,31400.0,70900.0,5200.0,49700.0,10400.0,400.0
2024-03-11,35100.0,71000.0,17100.0,81700.0,10400.0,400.0
2024-03-12,35400.0,71000.0,8000.0,90700.0,10400.0,600.0
2024-03-13,35600.0,70800.0,10800.0,88200.0,10400.0,400.0
2024-03-14,34500.0,70600.0,21500.0,76100.0,10400.0,300.0
2024-03-15,34900.0,70600.0,13800.0,67500.0,10400.0,600.0
2024-03-16,36700.0,70700.0,15800.0,43700.0,10400.0,700.0
2024-03-17,35200.0,70800.0,10300.0,43900.0,10400.0,200.0
2024-03-18,48700.0,70800.0,6700.0,87300.0,10400.0,300.0
2024-03-19,49300.0,70800.0,21200.0,77900.0,10400.0,100.0
2024-03-20,45500.0,70700.0,23900.0,87800.0,10400.0,200.0
2024-03-21,44800.0,70700.0,15700.0,79300.0,10400.0,600.0
2024-03-22,42400.0,70700.0,24100.0,66800.0,10400.0,300.0
2024-03-23,39800.0,70800.0,16000.0,43700.0,10400.0,1300.0
2024-03-24,35800.0,71100.0,15900.0,29100.0,10400.0,900.0
2024-03-25,38100.0,71000.0,26700.0,81500.0,10400.0,500.0
2024-03-26,37700.0,70800.0,21600.0,79300.0,10400.0,400.0
2024-03-27,40300.0,70800.0,7700.0,95400.0,10400.0,400.0
2024-03-28,39000.0,71000.0,15200.0,63900.0,10400.0,1200.0
2024-03-29,37300.0,70800.0,17100.0,64400.00000000001,10400.0,1100.0
2024-03-30,45600.0,70600.0,12100.0,49100.0,10400.0,600.0
2024-03-31,52000.0,70600.0,19400.0,17100.0,10400.0,400.0
2024-04-01,59700.0,70800.0,11700.0,19000.0,9600.0,1000.0
2024-04-02,53000.0,70800.0,24900.0,49800.0,9600.0,800.0
2024-04-03,46600.0,70800.0,10800.0,84200.0,9600.0,1100.0
2024-04-04,42800.0,70500.0,16500.0,59100.0,9600.0,900.0
2024-04-05,42700.0,70200.0,26500.0,54000.0,9600.0,900.0
2024-04-06,45400.0,70200.0,28700.0,32800.0,9600.0,1200.0
2024-04-07,48600.0,69600.0,20400.0,43200.0,9600.0,700.0
2024-04-08,57000.0,70100.0,21300.0,83700.0,9600.0,500.0
2024-04-09,68500.0,70500.0,6500.0,54000.0,9600.0,800.0
2024-04-10,63100.0,66300.0,16500.0,66800.0,9600.0,400.0
2024-04-11,53000.0,70400.0,31100.0,56600.0,9600.0,300.0
2024-04-12,55300.0,70600.0,31100.0,68500.0,9600.0,100.0
2024-04-13,57200.0,69600.0,31100.0,25300.0,9600.0,100.0
2024-04-14,62100.0,69100.0,31800.0,32500.0,9600.0,500.0
2024-04-15,72000.0,70400.0,17100.0,69100.0,9600.0,1200.0
2024-04-16,68600.0,70800.0,23500.0,64300.0,9600.0,1200.0
2024-04-17,61000.0,70900.0,14400.0,97200.0,9600.0,500.0
2024-04-18,55200.0,71100.0,15600.0,81400.0,9600.0,300.0
2024-04-19,48200.0,70900.0,10500.0,54400.0,9600.0,800.0
2024-04-20,45600.0,70900.0,18700.0,42900.0,9600.0,600.0
2024-04-21,44100.0,70000.0,12400.0,40500.0,9600.0,300.0
2024-04-22,47500.0,71000.0,7900.0,103400.0,9600.0,400.0
2024-04-23,48400.0,71000.0,11700.0,92900.0,9600.0,400.0
2024-04-24,45800.0,71000.0,18100.0,84900.0,9600.0,500.0
2024-04-25,44000.0,71000.0,25500.0,69800.0,9600.0,200.0
2024-04-26,43900.0,64700.0,23000.0,75800.0,9600.0,700.0
2024-04-27,45000.0,61800.0,33000.0,57800.0,9600.0,500.0
2024-04-28,47700.0,61100.0,15500.0,22900.0,9600.0,500.0
2024-04-29,49500.0,34500.0,29700.0,79200.0,9600.0,300.0
2024-04-30,52600.0,32500.0,29400.0,81000.0,9600.0,300.0
2024-05-01,52700.0,32200.000000000004,25400.0,34900.0,9200.0,300.0
2024-05-02,59100.0,32299.999999999996,14800.0,70800.0,9200.0,500.0
2024-05-03,56600.0,32299.999999999996,15700.0,115000.0,9200.0,400.0
2024-05-04,49700.0,32299.999999999996,30700.0,82900.0,9200.0,500.0
2024-05-05,46100.0,32299.999999999996,23000.0,57800.0,9200.0,700.0
2024-05-06,61700.0,32299.999999999996,10100.0,85300.0,9200.0,600.0
2024-05-07,69000.0,32400.0,9500.0,86100.0,9200.0,200.0
2024-05-08,68800.0,32299.999999999996,21500.0,88400.0,9200.0,400.0
2024-05-09,60800.0,32299.999999999996,26300.0,68700.0,9200.0,600.0
2024-05-10,58800.0,32200.000000000004,38500.0,76500.0,9200.0,400.0
2024-05-11,60300.0,32000.0,38200.0,66300.0,9200.0,100.0
2024-05-12,65600.0,32100.0,32100.0,40700.0,9200.0,200.0
2024-05-13,79200.0,32100.0,26200.0,59900.0,9200.0,200.0
2024-05-14,76600.0,32200.000000000004,32200.000000000004,56000.0,9200.0,300.0
2024-05-15,82700.0,32200.000000000004,17500.0,67300.0,9200.0,300.0
2024-05-16,85800.0,32200.000000000004,16200.0,82300.0,9200.0,100.0
2024-05-17,85000.0,32299.999999999996,27700.0,82600.0,9200.0,400.0
2024-05-18,71800.0,30800.0,28800.0,71700.0,9200.0,200.0
2024-05-19,66600.0,27900.0,31700.0,69200.0,9200.0,200.0
2024-05-20,66400.0,27900.0,32700.000000000004,89500.0,9200.0,200.0
2024-05-21,73200.0,28000.0,17900.0,86800.0,9200.0,300.0
2024-05-22,71700.0,27900.0,24500.0,75500.0,9200.0,500.0
2024-05-23,76600.0,28000.0,14400.0,80700.0,9200.0,100.0
2024-05-24,74300.0,27900.0,24300.0,92100.0,9200.0,100.0
2024-05-25,66900.0,6400.0,32000.0,71100.0,9200.0,100.0
2024-05-26,62200.0,8600.0,29700.0,54100.0,9200.0,100.0
2024-05-27,68700.0,8600.0,15500.0,75500.0,9200.0,200.0
2024-05-28,79900.0,8600.0,34300.0,64300.0,9200.0,300.0
2024-05-29,76800.0,8600.0,20200.0,58000.0,9200.0,300.0
2024-05-30,85200.0,8500.0,19400.0,77800.0,9200.0,800.0
2024-05-31,99200.0,12200.0,9200.0,64400.00000000001,9200.0,600.0
2024-06-01,72600.0,29600.0,18400.0,54300.0,9000.0,200.0
2024-06-02,63900.0,33600.0,16400.0,49700.0,9000.0,100.0
2024-06-03,68200.0,37400.0,15400.0,91200.0,9000.0,200.0
2024-06-04,71300.0,36500.0,35600.0,84300.0,9000.0,100.0
2024-06-05,71500.0,37600.0,31500.0,80200.0,9000.0,400.0
2024-06-06,73400.0,37500.0,29500.0,88900.0,9000.0,500.0
2024-06-07,79700.0,37500.0,29400.0,88300.0,9000.0,400.0
2024-06-08,81500.0,37400.0,22400.0,60400.0,9000.0,300.0
2024-06-09,83100.0,37500.0,19500.0,54400.0,9000.0,100.0
2024-06-10,89500.0,37600.0,32299.999999999996,71600.0,9000.0,400.0
2024-06-11,79600.0,37800.0,14000.0,71300.0,9000.0,200.0
2024-06-12,71500.0,37900.0,34800.0,84400.0,9000.0,300.0
2024-06-13,65800.0,37900.0,38900.0,85200.0,9000.0,200.0
2024-06-14,65900.0,29100.0,18600.0,108900.0,9000.0,1200.0
2024-06-15,83300.0,17400.0,24000.0,51600.0,9000.0,700.0
2024-06-16,80500.0,33000.0,34200.0,51300.0,9000.0,300.0
2024-06-17,73200.0,36100.0,27700.0,99400.0,9000.0,300.0
2024-06-18,73600.0,37000.0,37700.0,127400.0,9000.0,300.0
2024-06-19,75200.0,38000.0,36400.0,113600.0,9000.0,300.0
2024-06-20,79600.0,45100.0,16100.000000000002,135200.0,9000.0,500.0
2024-06-21,91400.0,45000.0,11400.0,114800.0,9000.0,600.0
2024-06-22,89300.0,46100.0,14900.0,65900.0,9000.0,400.0
2024-06-23,84300.0,46100.0,18400.0,75400.0,9000.0,400.0
2024-06-24,76300.0,45900.0,34100.0,102000.0,9000.0,700.0
2024-06-25,74800.0,45900.0,34600.0,107100.0,9000.0,300.0
2024-06-26,77000.0,50900.0,23800.0,127200.0,9000.0,100.0
2024-06-27,76700.0,62300.0,31700.0,119400.0,9000.0,300.0
2024-06-28,76200.0,64599.99999999999,30900.0,101800.0,9000.0,200.0
2024-06-29,77300.0,65600.0,20500.0,88500.0,9000.0,500.0
2024-06-30,83700.0,67200.0,17900.0,69300.0,9000.0,900.0
2024-07-01,86300.0,68800.0,26200.0,81100.0,9800.0,300.0
2024-07-02,83100.0,69700.0,23400.0,86600.0,9800.0,400.0
2024-07-03,79600.0,70000.0,16400.0,108100.0,9800.0,400.0
2024-07-04,75900.0,69800.0,30900.0,79300.0,9800.0,700.0
2024-07-05,73400.0,69500.0,37100.0,91800.0,9800.0,300.0
2024-07-06,80400.0,68900.0,16600.0,67500.0,9800.0,800.0
2024-07-07,92900.0,69800.0,20800.0,68000.0,9800.0,100.0
2024-07-08,83600.0,69400.0,39800.0,121400.0,9800.0,100.0
2024-07-09,79400.0,69100.0,38900.0,119900.0,9800.0,200.0
2024-07-10,79800.0,69000.0,23500.0,147700.0,9800.0,200.0
2024-07-11,81600.0,69000.0,31600.0,134400.0,9800.0,100.0
2024-07-12,86000.0,69000.0,17200.0,142900.0,9800.0,600.0
2024-07-13,83600.0,69500.0,26900.0,103600.0,9800.0,200.0
2024-07-14,76900.0,69400.0,33800.0,94300.0,9800.0,100.0
2024-07-15,77600.0,69100.0,29800.0,124500.0,9800.0,300.0
2024-07-16,87100.0,69200.0,26900.0,93500.0,9800.0,400.0
2024-07-17,81600.0,69300.0,31400.0,137700.0,9800.0,200.0
2024-07-18,77700.0,69100.0,38500.0,144500.0,9800.0,200.0
2024-07-19,77200.0,68800.0,34100.0,147800.0,9800.0,100.0
2024-07-20,77100.0,68800.0,37200.0,112200.0,9800.0,100.0
2024-07-21,76500.0,68900.0,26900.0,93400.0,9800.0,300.0
2024-07-22,77100.0,68900.0,21100.0,115900.0,9800.0,300.0
2024-07-23,75000.0,68900.0,33800.0,114700.0,9800.0,300.0
2024-07-24,73200.0,69100.0,31200.0,147400.0,9800.0,300.0
2024-07-25,71400.0,69100.0,37400.0,117700.0,9800.0,100.0
2024-07-26,70900.0,69000.0,36200.0,139300.0,9800.0,100.0
2024-07-27,72200.0,68700.0,31500.0,121600.0,9800.0,300.0
2024-07-28,74300.0,68700.0,24000.0,78500.0,9800.0,200.0
2024-07-29,73000.0,68800.0,36400.0,103000.0,9800.0,100.0
2024-07-30,71600.0,68400.0,34700.0,133000.0,9800.0,100.0
2024-07-31,72000.0,68200.0,25800.0,151000.0,9800.0,200.0
2024-08-01,77800.0,68500.0,21100.0,127600.0,9000.0,400.0
2024-08-02,78700.0,68700.0,32200.000000000004,109900.0,9000.0,100.0
2024-08-03,79700.0,68800.0,31200.0,86100.0,9000.0,200.0
2024-08-04,73000.0,68900.0,31200.0,92800.0,9000.0,200.0
2024-08-05,70400.0,68800.0,35500.0,116800.0,9000.0,100.0
