timestamp                 estimate
2024-01-01 00:00:00+00:00 0
2024-01-01 01:00:00+00:00 0
2024-01-01 02:00:00+00:00 0
2024-01-01 03:00:00+00:00 0
2024-01-01 04:00:00+00:00 0
2024-01-01 05:00:00+00:00 0
2024-01-01 06:00:00+00:00 0
2024-01-01 07:00:00+00:00 33.55013132934963
2024-01-01 08:00:00+00:00 226.43406719541653
2024-01-01 09:00:00+00:00 546.0283019094479
2024-01-01 10:00:00+00:00 903.8543541403526
2024-01-01 11:00:00+00:00 878.6596543234863
2024-01-01 12:00:00+00:00 628.9232413131003
2024-01-01 13:00:00+00:00 554.3480993977316
2024-01-01 14:00:00+00:00 395.4847470590793
2024-01-01 15:00:00+00:00 128.53392080987703
2024-01-01 16:00:00+00:00 0
2024-01-01 17:00:00+00:00 0
2024-01-01 18:00:00+00:00 0
2024-01-01 19:00:00+00:00 0
2024-01-01 20:00:00+00:00 0
2024-01-01 21:00:00+00:00 0
2024-01-01 22:00:00+00:00 0
2024-01-01 23:00:00+00:00 0
2024-01-02 00:00:00+00:00 0
2024-01-02 01:00:00+00:00 0
2024-01-02 02:00:00+00:00 0
2024-01-02 03:00:00+00:00 0
2024-01-02 04:00:00+00:00 0
2024-01-02 05:00:00+00:00 0
2024-01-02 06:00:00+00:00 0
2024-01-02 07:00:00+00:00 24.33646964198919
2024-01-02 08:00:00+00:00 103.4082863862577
2024-01-02 09:00:00+00:00 221.0971049851759
2024-01-02 10:00:00+00:00 364.1895984394006
2024-01-02 11:00:00+00:00 444.7118852624887
2024-01-02 12:00:00+00:00 396.52762144353676
2024-01-02 13:00:00+00:00 211.25567047785535
2024-01-02 14:00:00+00:00 98.98070140790571
2024-01-02 15:00:00+00:00 29.58545465391432
2024-01-02 16:00:00+00:00 0
2024-01-02 17:00:00+00:00 0
2024-01-02 18:00:00+00:00 0
2024-01-02 19:00:00+00:00 0
2024-01-02 20:00:00+00:00 0
2024-01-02 21:00:00+00:00 0
2024-01-02 22:00:00+00:00 0
2024-01-02 23:00:00+00:00 0
2024-01-03 00:00:00+00:00 0
2024-01-03 01:00:00+00:00 0
2024-01-03 02:00:00+00:00 0
2024-01-03 03:00:00+00:00 0
2024-01-03 04:00:00+00:00 0
2024-01-03 05:00:00+00:00 0
2024-01-03 06:00:00+00:00 0
2024-01-03 07:00:00+00:00 39.714612143478064
2024-01-03 08:00:00+00:00 327.9956825672487
2024-01-03 09:00:00+00:00 621.1533170159289
2024-01-03 10:00:00+00:00 887.1139067698664
2024-01-03 11:00:00+00:00 928.5038183083858
2024-01-03 12:00:00+00:00 802.1110253831943
2024-01-03 13:00:00+00:00 687.9365306729663
2024-01-03 14:00:00+00:00 330.4642835204834
2024-01-03 15:00:00+00:00 84.82394473707615
2024-01-03 16:00:00+00:00 0
2024-01-03 17:00:00+00:00 0
2024-01-03 18:00:00+00:00 0
2024-01-03 19:00:00+00:00 0
2024-01-03 20:00:00+00:00 0
2024-01-03 21:00:00+00:00 0
2024-01-03 22:00:00+00:00 0
2024-01-03 23:00:00+00:00 0
2024-01-04 00:00:00+00:00 0
2024-01-04 01:00:00+00:00 0
2024-01-04 02:00:00+00:00 0
2024-01-04 03:00:00+00:00 0
2024-01-04 04:00:00+00:00 0
2024-01-04 05:00:00+00:00 0
2024-01-04 06:00:00+00:00 0
2024-01-04 07:00:00+00:00 23.324490552560505
2024-01-04 08:00:00+00:00 133.96413482056698
2024-01-04 09:00:00+00:00 315.9088973318194
2024-01-04 10:00:00+00:00 594.8739876170233
2024-01-04 11:00:00+00:00 935.7211167863651
2024-01-04 12:00:00+00:00 998.8376058142234
2024-01-04 13:00:00+00:00 904.285696891344
2024-01-04 14:00:00+00:00 511.1309453400409
2024-01-04 15:00:00+00:00 123.4057418620513
2024-01-04 16:00:00+00:00 0
2024-01-04 17:00:00+00:00 0
2024-01-04 18:00:00+00:00 0
2024-01-04 19:00:00+00:00 0
2024-01-04 20:00:00+00:00 0
2024-01-04 21:00:00+00:00 0
2024-01-04 22:00:00+00:00 0
2024-01-04 23:00:00+00:00 0
2024-01-05 00:00:00+00:00 0
2024-01-05 01:00:00+00:00 0
2024-01-05 02:00:00+00:00 0
2024-01-05 03:00:00+00:00 0
2024-01-05 04:00:00+00:00 0
2024-01-05 05:00:00+00:00 0
2024-01-05 06:00:00+00:00 0
2024-01-05 07:00:00+00:00 22.593203128686078
2024-01-05 08:00:00+00:00 89.6534779966217
2024-01-05 09:00:00+00:00 131.3099512587074
2024-01-05 10:00:00+00:00 162.0370602072331
2024-01-05 11:00:00+00:00 170.74497727868084
2024-01-05 12:00:00+00:00 181.95551243529445
2024-01-05 13:00:00+00:00 135.785806067401
2024-01-05 14:00:00+00:00 86.14196285098221
2024-01-05 15:00:00+00:00 38.77086531497071
2024-01-05 16:00:00+00:00 0
2024-01-05 17:00:00+00:00 0
2024-01-05 18:00:00+00:00 0
2024-01-05 19:00:00+00:00 0
2024-01-05 20:00:00+00:00 0
2024-01-05 21:00:00+00:00 0
2024-01-05 22:00:00+00:00 0
2024-01-05 23:00:00+00:00 0
2024-01-06 00:00:00+00:00 0
2024-01-06 01:00:00+00:00 0
2024-01-06 02:00:00+00:00 0
2024-01-06 03:00:00+00:00 0
2024-01-06 04:00:00+00:00 0
2024-01-06 05:00:00+00:00 0
2024-01-06 06:00:00+00:00 0
2024-01-06 07:00:00+00:00 19.674792677260857
2024-01-06 08:00:00+00:00 96.2313711964497
2024-01-06 09:00:00+00:00 227.69743940416276
2024-01-06 10:00:00+00:00 289.0136343884482
2024-01-06 11:00:00+00:00 302.3977322970823
2024-01-06 12:00:00+00:00 284.44572487676334
2024-01-06 13:00:00+00:00 211.34357168771507
2024-01-06 14:00:00+00:00 124.0489871252523
2024-01-06 15:00:00+00:00 48.71341752683243
2024-01-06 16:00:00+00:00 0
2024-01-06 17:00:00+00:00 0
2024-01-06 18:00:00+00:00 0
2024-01-06 19:00:00+00:00 0
2024-01-06 20:00:00+00:00 0
2024-01-06 21:00:00+00:00 0
2024-01-06 22:00:00+00:00 0
2024-01-06 23:00:00+00:00 0
2024-01-07 00:00:00+00:00 0
2024-01-07 01:00:00+00:00 0
2024-01-07 02:00:00+00:00 0
2024-01-07 03:00:00+00:00 0
2024-01-07 04:00:00+00:00 0
2024-01-07 05:00:00+00:00 0
2024-01-07 06:00:00+00:00 0
2024-01-07 07:00:00+00:00 21.214546508526755
2024-01-07 08:00:00+00:00 101.99992615166703
2024-01-07 09:00:00+00:00 224.59986334912972
2024-01-07 10:00:00+00:00 318.88307158867485
2024-01-07 11:00:00+00:00 373.98629613780236
2024-01-07 12:00:00+00:00 338.9898356792218
2024-01-07 13:00:00+00:00 244.90637262395393
2024-01-07 14:00:00+00:00 139.73953834087547
2024-01-07 15:00:00+00:00 53.35660491171134
2024-01-07 16:00:00+00:00 0
2024-01-07 17:00:00+00:00 0
2024-01-07 18:00:00+00:00 0
2024-01-07 19:00:00+00:00 0
2024-01-07 20:00:00+00:00 0
2024-01-07 21:00:00+00:00 0
2024-01-07 22:00:00+00:00 0
2024-01-07 23:00:00+00:00 0
2024-01-08 00:00:00+00:00 0
