,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Wind Onshore
2024-01-01 00:00:00+01:00,44.25,218.28,255.45,3023.2,0.0,43.0
2024-01-01 01:00:00+01:00,75.7,221.35,267.73,3021.5,0.0,38.09
2024-01-01 02:00:00+01:00,55.7,217.88,277.85,3021.3,0.0,35.19
2024-01-01 03:00:00+01:00,48.18,218.73,283.88,3019.7,0.0,44.12
2024-01-01 04:00:00+01:00,65.93,217.65,300.5,3020.1,0.0,41.16
2024-01-01 05:00:00+01:00,51.03,217.55,273.58,3018.8,0.0,42.75
2024-01-01 06:00:00+01:00,41.98,218.1,263.85,3017.6,0.0,45.35
2024-01-01 07:00:00+01:00,41.55,218.13,294.83,3017.5,0.0,44.37
2024-01-01 08:00:00+01:00,52.9,217.08,266.58,3017.5,2.31,42.05
2024-01-01 09:00:00+01:00,103.13,218.35,270.45,3015.2,107.66,39.03
2024-01-01 10:00:00+01:00,93.63,218.48,234.08,3017.7,454.16,34.0
2024-01-01 11:00:00+01:00,65.83,217.4,254.63,3015.8,488.86,29.81
2024-01-01 12:00:00+01:00,49.35,216.43,247.98,3014.8,450.07,24.22
2024-01-01 13:00:00+01:00,117.8,220.9,283.2,3014.0,437.96,20.52
2024-01-01 14:00:00+01:00,142.73,216.58,256.65,3013.9,429.79,18.11
2024-01-01 15:00:00+01:00,115.33,215.18,265.03,3014.0,321.13,16.61
2024-01-01 16:00:00+01:00,276.48,217.28,338.13,3013.6,71.26,20.67
2024-01-01 17:00:00+01:00,473.35,219.13,445.35,3013.9,0.0,26.07
2024-01-01 18:00:00+01:00,762.2,218.4,452.95,3017.9,0.0,30.58
2024-01-01 19:00:00+01:00,527.98,217.43,347.9,3019.1,0.0,33.51
2024-01-01 20:00:00+01:00,405.0,220.45,404.98,3021.4,0.0,41.94
2024-01-01 21:00:00+01:00,247.1,217.05,376.48,3022.4,0.0,38.57
